college_slno,college_name,course_slno,course_info
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.8,Data Science
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.11,Indian Economic Development
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.12,Monetary Policy in Practice ECO1MN102 - Monetary Tools for Policy Formulation [Economics 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.13,Cultural Studies FEN1MN102 - Understanding Culture [Functional English 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.14,FEN1MN101 - Grammar Foundation [Functional English 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.16,HIN1MN101 - Prayojanmoolak Hindi (Functional Hindi) [Hindi 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.17,Electronic Media
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.18,Critical Studies MAL1MN103 - Gender studies [Malayalam 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.19,MAL1MN101 - Introduction to World Literature [Malayalam 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.2,Analytics for Financial Data
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.21,General Management BBA1MN101 - Marketing Management [Management Studies 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.22,MAT1MN102 - Calculus of a Single Variable [Mathematics 2024 syllabus]
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.23,Foundations of Social Work
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.25,Hospitality Administration
10,"ALPHONSA ARTS AND SCIENCE COLLEGE,SULTHAN BATHERY",10.26,Hotel Management
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.1,B1: Financial Reporting
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.2,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.3,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.4,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.5,English at Workspace
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.6,English For Content Creation ENG1MN101 - Fundamentals of Content Creation [English 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.7,Human Physiology I PSG1MN101 - Basics in cellular physiology [Human Physiology 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.8,Foundations of Behaviour PSY1MN101 - Gateways to Mind and Behaviour [Psychology 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.9,Recent Trends In Psychology PSY1MN105 - Media Psychology [Psychology 2024 syllabus]
11,"ALPHONSA COLLEGE THIRUVAMBADY,THIRUVAMBADY",11.1,STA1MN105 - Descriptive Statistics [Statistics 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.1,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.2,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.3,COM1VN101 - Fundamentals of Travel and Tourism [Commerce 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.4,F2: Hospitality Management COM1VN102 - Foundations of Hospitality [Commerce 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.7,English in Industry
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.8,Public Health Nutrition NAD1VN101 - Health and Hygiene [Nutrition and Dietetics 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.9,Avenues of Psychology PSY1MN103 - Psychology of Media [Psychology 2024 syllabus]
12,AL SHIFA COLLEGE OF ARTS AND SCIENCE,12.1,STA1MN103 - Introductory Statistics with R [Statistics 2024 syllabus]
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.1,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.2,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
